The following lines contain 2177 text messages, one per line. Each text message can be classified as spam or ham (i.e., not spam).

You will be asked to answer questions about the aggregate label statistics across all 2177 examples in this dataset. Do not try to guess, estimate, or approximate the result. Calculate the exact answer given these datapoints.

Date: Apr 01, 2025 || User: 23965 || Instance: Compliments to you. Was away from the system. How your side. 
Date: Feb 08, 2024 || User: 97072 || Instance: Boltblue tones for 150p Reply POLY# or MONO# eg POLY3 1. Cha Cha Slide 2. Yeah 3. Slow Jamz 6. Toxic 8. Come With Me or STOP 4 more tones txt MORE 
Date: Nov 05, 2023 || User: 94513 || Instance: U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm 
Date: Mar 12, 2025 || User: 35195 || Instance: URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm 
Date: Jun 18, 2025 || User: 87718 || Instance: todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award 
Date: Mar 01, 2023 || User: 23974 || Instance: SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE 
Date: Apr 20, 2024 || User: 38574 || Instance: So no messages. Had food? 
Date: Jul 17, 2022 || User: 84689 || Instance: Today is "song dedicated day.." Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me... 
Date: May 08, 2024 || User: 57417 || Instance: Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk 
Date: Jul 22, 2024 || User: 60682 || Instance: Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good. 
Date: Aug 03, 2024 || User: 14841 || Instance: FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free 
Date: Jun 30, 2022 || User: 24649 || Instance: Didn't try, g and I decided not to head out 
Date: Dec 24, 2023 || User: 95297 || Instance: Want to send me a virtual hug?... I need one 
Date: Jul 16, 2022 || User: 30149 || Instance: YOU ARE CHOSEN TO RECEIVE A £350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer. 
Date: Nov 30, 2024 || User: 82026 || Instance: Then she buying today? Ü no need to c meh... 
Date: Dec 24, 2022 || User: 25640 || Instance: Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service. 
Date: Oct 21, 2022 || User: 22908 || Instance: I reach home safe n sound liao... 
Date: May 24, 2023 || User: 40538 || Instance: Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698 
Date: Nov 04, 2024 || User: 16802 || Instance: Call FREEPHONE 0800 542 0578 now! 
Date: Aug 28, 2023 || User: 35918 || Instance: Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date. 
Date: Jun 21, 2022 || User: 61405 || Instance: Aiyah e rain like quite big leh. If drizzling i can at least run home. 
Date: Oct 19, 2024 || User: 36730 || Instance: Oh great. I.ll disturb him more so that we can talk. 
Date: Nov 26, 2023 || User: 86576 || Instance: You can stop further club tones by replying "STOP MIX" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3) 
Date: Jan 21, 2025 || User: 25640 || Instance: ALSO TELL HIM I SAID HAPPY BIRTHDAY 
Date: Mar 16, 2024 || User: 44878 || Instance: Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ 
Date: Apr 07, 2023 || User: 42280 || Instance: I'm not driving... Raining! Then i'll get caught at e mrt station lor. 
Date: Sep 17, 2023 || User: 74010 || Instance: Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl. 
Date: Mar 04, 2023 || User: 63995 || Instance: SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE 
Date: Sep 14, 2022 || User: 73270 || Instance: They will pick up and drop in car.so no problem.. 
Date: May 29, 2025 || User: 39013 || Instance: You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm 
Date: Oct 14, 2024 || User: 62638 || Instance: 22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222 
Date: Jul 07, 2023 || User: 30149 || Instance: URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only 
Date: Nov 20, 2024 || User: 35198 || Instance: Warner Village 83118 C Colin Farrell in SWAT this wkend @Warner Village & get 1 free med. Popcorn!Just show msg+ticket@kiosk.Valid 4-7/12. C t&c @kiosk. Reply SONY 4 mre film offers 
Date: Jun 19, 2022 || User: 27239 || Instance: Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.: 
Date: Feb 04, 2025 || User: 40235 || Instance: Hi im having the most relaxing time ever! we have to get up at 7am every day! was the party good the other night? I get home tomorrow at 5ish. 
Date: Mar 11, 2025 || User: 42878 || Instance: You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+)  
Date: Sep 12, 2022 || User: 14234 || Instance: Thanks again for your reply today. When is ur visa coming in. And r u still buying the gucci and bags. My sister things are not easy, uncle john also has his own bills so i really need to think about how to make my own money. Later sha. 
Date: Feb 12, 2024 || User: 51846 || Instance: GSOH? Good with SPAM the ladies?U could b a male gigolo? 2 join the uk's fastest growing mens club reply ONCALL. mjzgroup. 08714342399.2stop reply STOP. msg@£1.50rcvd 
Date: Aug 11, 2023 || User: 36282 || Instance: here is my new address -apples&pairs&all that malarky 
Date: Feb 07, 2025 || User: 88843 || Instance: "ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX." 
Date: Apr 27, 2024 || User: 81449 || Instance: Huh means computational science... Y they like dat one push here n there... 
Date: Jan 05, 2024 || User: 72029 || Instance: Burger King - Wanna play footy at a top stadium? Get 2 Burger King before 1st Sept and go Large or Super with Coca-Cola and walk out a winner 
Date: Mar 06, 2025 || User: 11111 || Instance: Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min 
Date: Mar 26, 2022 || User: 11111 || Instance: Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app 
Date: Oct 03, 2023 || User: 28617 || Instance: I'm done oredi... 
Date: Sep 14, 2023 || User: 81627 || Instance: HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call 
Date: Apr 27, 2022 || User: 70643 || Instance: Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that 
Date: Jul 26, 2024 || User: 70397 || Instance: Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware! 
Date: Dec 07, 2022 || User: 22213 || Instance: sexy sexy cum and text me im wet and warm and ready for some porn! u up for some fun? THIS MSG IS FREE RECD MSGS 150P INC VAT 2 CANCEL TEXT STOP 
Date: Dec 18, 2024 || User: 34013 || Instance: England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+ 
Date: Mar 14, 2025 || User: 40551 || Instance: You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo 
Date: Mar 09, 2023 || User: 22004 || Instance: What happened in interview? 
Date: Sep 15, 2022 || User: 51846 || Instance: K:)k:)good:)study well. 
Date: Jan 09, 2023 || User: 28859 || Instance: So how's the weather over there? 
Date: Jul 21, 2023 || User: 68959 || Instance: You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712394 between 10am-7pm 
Date: Dec 27, 2023 || User: 22268 || Instance: If u laugh really loud.. If u talk spontaneously.. If u dont care what others feel.. U are probably with your dear &amp; best friends.. GOODEVENING Dear..:) 
Date: Mar 06, 2024 || User: 60958 || Instance: SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL 
Date: May 17, 2024 || User: 86576 || Instance: All will come alive.better correct any good looking figure there itself.. 
Date: Feb 15, 2025 || User: 46278 || Instance: Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX 
Date: Oct 12, 2022 || User: 76075 || Instance: T-Mobile customer you may now claim your FREE CAMERA PHONE upgrade & a pay & go sim card for your loyalty. Call on 0845 021 3680.Offer ends 28thFeb.T&C's apply 
Date: Jan 21, 2025 || User: 66292 || Instance: FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline 
Date: Aug 08, 2023 || User: 62296 || Instance: Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+ 
Date: Jun 02, 2024 || User: 74608 || Instance: URGENT! Your mobile number *************** WON a £2000 Bonus Caller prize on 10/06/03! This is the 2nd attempt to reach you! Call 09066368753 ASAP! Box 97N7QP, 150ppm 
Date: Jul 26, 2022 || User: 80217 || Instance: Lmao. Take a pic and send it to me. 
Date: Mar 05, 2022 || User: 28743 || Instance: I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs? 
Date: May 30, 2023 || User: 78157 || Instance: S...i will take mokka players only:) 
Date: Feb 13, 2025 || User: 14841 || Instance: As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066368470 
Date: May 23, 2024 || User: 88522 || Instance: WIN a year supply of CDs 4 a store of ur choice worth £500 & enter our £100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3 
Date: Jul 27, 2023 || User: 51846 || Instance: Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3  
Date: Mar 25, 2025 || User: 48675 || Instance: If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy  
Date: Aug 31, 2023 || User: 77721 || Instance: FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3x£150pw to e£nd txt stop 
Date: Oct 17, 2022 || User: 72029 || Instance: Babe! I fucking love you too !! You know? Fuck it was so good to hear your voice. I so need that. I crave it. I can't get enough. I adore you, Ahmad *kisses* 
Date: Feb 18, 2024 || User: 73080 || Instance: FROM 88066 LOST £12 HELP 
Date: Dec 27, 2022 || User: 53445 || Instance: You have an important customer service announcement from PREMIER. 
Date: Mar 18, 2025 || User: 33621 || Instance: money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over £1million to give away ! ppt150x3+normal text rate box403 w1t1jy 
Date: Mar 18, 2025 || User: 62250 || Instance: 08714712388 between 10am-7pm Cost 10p 
Date: Dec 01, 2023 || User: 33026 || Instance: RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy! 
Date: Jun 16, 2023 || User: 82971 || Instance: Lol ok your forgiven :) 
Date: Jan 14, 2023 || User: 83891 || Instance: Genius what's up. How your brother. Pls send his number to my skype. 
Date: Oct 05, 2022 || User: 27277 || Instance: SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE 
Date: Jan 21, 2025 || User: 33798 || Instance: Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or £10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+ 
Date: Sep 19, 2024 || User: 46777 || Instance: Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x 
Date: Jun 04, 2023 || User: 18359 || Instance: 1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-) 
Date: Oct 28, 2023 || User: 75595 || Instance: Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists. 
Date: Oct 07, 2024 || User: 50964 || Instance: Ur balance is now £600. Next question: Complete the landmark, Big, A. Bob, B. Barry or C. Ben ?. Text A, B or C to 83738. Good luck! 
Date: Apr 15, 2022 || User: 96315 || Instance: Me too! Have a lovely night xxx 
Date: Mar 04, 2025 || User: 40538 || Instance: Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1 
Date: Aug 15, 2024 || User: 75893 || Instance: Sppok up ur mob with a Halloween collection of nokia logo&pic message plus a FREE eerie tone, txt CARD SPOOK to 8007 
Date: Mar 10, 2024 || User: 87186 || Instance: Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ... 
Date: Oct 03, 2023 || User: 33376 || Instance: PRIVATE! Your 2003 Account Statement for 078 
Date: Jun 11, 2022 || User: 86891 || Instance: Fffff. Can you text kadeem or are you too far gone 
Date: Jul 24, 2022 || User: 63674 || Instance: Ü neva tell me how i noe... I'm not at home in da aft wat...  
Date: Nov 14, 2022 || User: 84831 || Instance: Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss. 
Date: Apr 30, 2022 || User: 73270 || Instance: 83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541  
Date: Mar 03, 2025 || User: 99383 || Instance: I'm at home n ready... 
Date: Jul 12, 2022 || User: 41119 || Instance: Lol alright i was thinkin that too haha 
Date: Aug 06, 2022 || User: 67595 || Instance: WIN URGENT! Your mobile number has been awarded with a £2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm  
Date: Jan 09, 2023 || User: 50110 || Instance: ILL B DOWN SOON 
Date: Jun 23, 2023 || User: 14234 || Instance: Already am squatting is the new way of walking 
Date: May 13, 2023 || User: 60136 || Instance: We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW 
Date: Sep 05, 2024 || User: 90656 || Instance: I called and said all to him:)then he have to choose this future. 
Date: Jun 14, 2024 || User: 78815 || Instance: Cuz ibored. And don wanna study 
Date: Jul 12, 2022 || User: 22213 || Instance: Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p 
Date: Nov 27, 2023 || User: 62250 || Instance: You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm 
Date: Aug 17, 2022 || User: 13289 || Instance: Rofl. Its true to its name 
Date: Sep 13, 2022 || User: 38574 || Instance: K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-) 
Date: Dec 17, 2023 || User: 53870 || Instance: 88800 and 89034 are premium phone services call 08718711108 
Date: Oct 13, 2024 || User: 46032 || Instance: REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode 
Date: Mar 29, 2025 || User: 73168 || Instance: Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun! 
Date: Apr 24, 2022 || User: 83559 || Instance: I'll see, but prolly yeah 
Date: Feb 18, 2024 || User: 38574 || Instance: You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill 
Date: Oct 14, 2024 || User: 32390 || Instance: So what did the bank say about the money? 
Date: Aug 20, 2023 || User: 82674 || Instance: Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply 
Date: Apr 19, 2025 || User: 70643 || Instance: Ok lor wat time ü finish? 
Date: Oct 07, 2022 || User: 36952 || Instance: Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES 
Date: Jun 06, 2023 || User: 68620 || Instance: I am great! How are you? 
Date: Nov 12, 2024 || User: 44193 || Instance: Unlimited texts. Limited minutes. 
Date: Apr 26, 2022 || User: 34013 || Instance: As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr 
Date: Nov 26, 2022 || User: 44437 || Instance: I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub? 
Date: Jun 18, 2025 || User: 28019 || Instance: Hi this is Amy, we will be sending you a free phone number in a couple of days, which will give you an access to all the adult parties... 
Date: Apr 14, 2024 || User: 71925 || Instance: Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap? 
Date: Jul 11, 2023 || User: 98112 || Instance: We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p 
Date: May 04, 2022 || User: 23965 || Instance: K..give back my thanks. 
Date: Nov 14, 2024 || User: 87718 || Instance: You have 1 new message. Call 0207-083-6089 
Date: Nov 05, 2022 || User: 22308 || Instance: I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!  
Date: Feb 20, 2023 || User: 90821 || Instance: FREE UNLIMITED HARDCORE PORN direct 2 your mobile Txt PORN to 69200 & get FREE access for 24 hrs then chrgd@50p per day txt Stop 2exit. This msg is free 
Date: Feb 19, 2025 || User: 25492 || Instance: :( but your not here.... 
Date: Jan 09, 2024 || User: 91010 || Instance: Abeg, make profit. But its a start. Are you using it to get sponsors for the next event? 
Date: Oct 25, 2024 || User: 68959 || Instance: Dear relieved of westonzoyland, all going to plan this end too! 
Date: Oct 05, 2023 || User: 78157 || Instance: Dont pick up d call when something important is There to tell. Hrishi 
Date: Aug 25, 2023 || User: 75893 || Instance: Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs 
Date: Feb 07, 2024 || User: 90753 || Instance: Here is your discount code RP176781. To stop further messages reply stop. www.regalportfolio.co.uk. Customer Services 08717205546 
Date: May 26, 2024 || User: 74872 || Instance: Urgent! Please call 09061213237 from landline. £5000 cash or a luxury 4* Canary Islands Holiday await collection. T&Cs SAE PO Box 177. M227XY. 150ppm. 16+ 
Date: Dec 18, 2024 || User: 49529 || Instance: Kallis is ready for bat in 2nd innings 
Date: Oct 13, 2023 || User: 62638 || Instance: FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+ 
Date: Apr 11, 2025 || User: 41109 || Instance: Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX 
Date: Mar 19, 2023 || User: 84410 || Instance: This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921 
Date: Jun 18, 2023 || User: 78091 || Instance: Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend 
Date: Nov 06, 2024 || User: 78655 || Instance: Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost. 
Date: Mar 23, 2024 || User: 62296 || Instance: HI DARLIN ITS KATE ARE U UP FOR DOIN SOMETHIN TONIGHT? IM GOING TO A PUB CALLED THE SWAN OR SOMETHING WITH MY PARENTS FOR ONE DRINK SO PHONE ME IF U CAN 
Date: Jul 05, 2024 || User: 40235 || Instance: "Hey j! r u feeling any better, hopeSo hunny. i amnow feelin ill & ithink i may have tonsolitusaswell! damn iam layin in bedreal bored. lotsof luv me xxxx" 
Date: Apr 14, 2022 || User: 14234 || Instance: Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p 
Date: Aug 13, 2024 || User: 36606 || Instance: Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow 
Date: Feb 18, 2024 || User: 74528 || Instance: So i asked how's anthony. Dad. And your bf 
Date: May 02, 2025 || User: 81170 || Instance: He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar? 
Date: Mar 04, 2025 || User: 33202 || Instance: Mm that time you dont like fun 
Date: Apr 28, 2025 || User: 35198 || Instance: 44 7732584351, Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705. 
Date: Oct 14, 2023 || User: 39013 || Instance: I not at home now lei... 
Date: Jun 14, 2022 || User: 18359 || Instance: Oh, yes, I've just been a little under the weather so i've kind of been coccooning at home 
Date: Apr 28, 2022 || User: 85946 || Instance: I thk ü gotta go home by urself. Cos i'll b going out shopping 4 my frens present.  
Date: Jan 17, 2024 || User: 51846 || Instance: Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705 
Date: Nov 11, 2024 || User: 33621 || Instance: No problem. How are you doing? 
Date: May 17, 2022 || User: 83559 || Instance: 22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222 
Date: Feb 26, 2024 || User: 30149 || Instance: New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693 
Date: May 09, 2022 || User: 65316 || Instance: Oh my god! I've found your number again! I'm so glad, text me back xafter this msgs cst std ntwk chg £1.50 
Date: Feb 16, 2022 || User: 36712 || Instance: I've told him that i've returned it. That should i re order it. 
Date: Jan 26, 2025 || User: 26444 || Instance: That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem. 
Date: Apr 16, 2022 || User: 34851 || Instance: Aldrine, rakhesh ex RTM here.pls call.urgent. 
Date: Aug 01, 2023 || User: 14841 || Instance: Yes princess! I want to make you happy... 
Date: Mar 24, 2022 || User: 94422 || Instance: Latest News! Police station toilet stolen, cops have nothing to go on! 
Date: Aug 21, 2022 || User: 86036 || Instance: URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only 
Date: Apr 28, 2022 || User: 51941 || Instance: For ur chance to win a £250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk 
Date: Sep 09, 2024 || User: 75930 || Instance: Urgent! Please call 09061213237 from a landline. £5000 cash or a 4* holiday await collection. T &Cs SAE PO Box 177 M227XY. 16+ 
Date: Feb 25, 2024 || User: 58649 || Instance: Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or £250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022 
Date: Dec 16, 2022 || User: 25176 || Instance: We are hoping to get away by 7, from Langport. You still up for town tonight? 
Date: Apr 28, 2022 || User: 86835 || Instance: URGENT! We are trying to contact U. Todays draw shows that you have won a £2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only 
Date: Jul 16, 2024 || User: 47041 || Instance: Anytime... 
Date: Dec 13, 2024 || User: 93083 || Instance: Twinks, bears, scallies, skins and jocks are calling now. Don't miss the weekend's fun. Call 08712466669 at 10p/min. 2 stop texts call 08712460324(nat rate) 
Date: Apr 27, 2022 || User: 51073 || Instance: "For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk" 
Date: Dec 24, 2022 || User: 86608 || Instance: WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only. 
Date: Jul 06, 2024 || User: 23844 || Instance: Just making dinner, you ? 
Date: Jan 14, 2025 || User: 77152 || Instance: I can do that! I want to please you both inside and outside the bedroom... 
Date: Jun 29, 2022 || User: 59719 || Instance: It only does simple arithmetic not percentages. 
Date: Nov 05, 2022 || User: 42280 || Instance: More people are dogging in your area now. Call 09090204448 and join like minded guys. Why not arrange 1 yourself. There's 1 this evening. A£1.50 minAPN LS278BB 
Date: Oct 02, 2024 || User: 73737 || Instance: In case you wake up wondering where I am, I forgot I have to take care of something for grandma today, should be done before the parade 
Date: Dec 01, 2022 || User: 24313 || Instance: 4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt 
Date: Nov 15, 2023 || User: 23605 || Instance: Ok both our days. So what are you making for dinner tonite? Am I invited? 
Date: Nov 14, 2024 || User: 48684 || Instance: Good night. Am going to sleep. 
Date: May 25, 2022 || User: 66579 || Instance: URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only 
Date: Dec 24, 2023 || User: 81627 || Instance: As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589 
Date: Apr 13, 2025 || User: 73876 || Instance: FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020. 
Date: May 18, 2024 || User: 41729 || Instance: But i juz remembered i gotta bathe my dog today.. 
Date: Dec 06, 2022 || User: 36991 || Instance: I plane to give on this month end. 
Date: Jul 06, 2022 || User: 37583 || Instance: You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on 
Date: Oct 22, 2022 || User: 82887 || Instance: For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p 
Date: Jan 01, 2024 || User: 85797 || Instance: I just really need shit before tomorrow and I know you won't be awake before like 6 
Date: Feb 28, 2025 || User: 70806 || Instance: I wanna watch that movie 
Date: Sep 28, 2024 || User: 26569 || Instance: REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode 
Date: Apr 28, 2024 || User: 74275 || Instance: Omg if its not one thing its another. My cat has worms :/ when does this bad day end? 
Date: May 21, 2025 || User: 44284 || Instance: Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in. 
Date: Feb 10, 2025 || User: 34013 || Instance: URGENT! Your Mobile No 07808726822 was awarded a £2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9758 BOX95QU 
Date: Jun 03, 2022 || User: 22081 || Instance: I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. ) 
